group,metric,method,stat,p,effect_size
id,toxicity,kruskal,34.838487972508744,0.2902464147813607,0.040405136552723625
id,identity_attack,kruskal,29.996563573883293,0.517474033612424,-0.010562488695965338
id,sentiment_score,kruskal,38.82474226804135,0.1577428435955882,0.08236570808464577
gender,toxicity,mannwhitney,1215.0,0.4422654550464411,-0.09311740890688269
gender,identity_attack,mannwhitney,1161.0,0.7147107426704603,-0.044534412955465674
gender,sentiment_score,mannwhitney,723.0,0.0037981776463123043,0.34952766531713897
age_group,toxicity,kruskal,6.605577033218765,0.15825854669650524,0.027427126665460683
age_group,identity_attack,kruskal,6.481292955326467,0.1659729013393919,0.026118873213962807
age_group,sentiment_score,kruskal,5.395997995418099,0.24902371756708616,0.014694715741243152
religion,toxicity,kruskal,3.3657574455899635,0.4985814292062757,-0.00667623741484249
religion,identity_attack,kruskal,3.2515463917525835,0.5166457758494171,-0.00787845903418333
religion,sentiment_score,kruskal,4.525350801832701,0.3395521053668169,0.005530008440344222
ideology,toxicity,kruskal,16.740435280641464,0.1596248817825146,0.04989931874359435
ideology,identity_attack,kruskal,13.491677405498251,0.3343382464477351,0.01570186742629738
ideology,sentiment_score,kruskal,10.149026345933578,0.6028884258633456,-0.01948393320069918
