group,metric,method,stat,p,effect_size
id,toxicity,kruskal,2.2820512820512917,0.5159681228775257,-0.06526806526806439
id,identity_attack,kruskal,4.435897435897438,0.21807985533434943,0.13053613053613072
id,sentiment_score,anova,1.0777673878309282,0.41175437813872906,0.28783185179516707
gender,toxicity,mannwhitney,26.0,0.24025974025974026,-0.4444444444444444
gender,identity_attack,mannwhitney,15.0,0.6991341991341992,0.16666666666666663
gender,sentiment_score,mannwhitney,25.0,0.30952380952380953,-0.38888888888888884
age_group,toxicity,kruskal,0.435897435897445,0.8041666799260749,-0.14219114219114137
age_group,identity_attack,kruskal,4.11538461538462,0.1277484340764156,0.19230769230769276
age_group,sentiment_score,anova,1.7968848636412735,0.22049077601596798,0.2853609209240323
religion,toxicity,kruskal,2.2820512820512917,0.5159681228775257,-0.06526806526806439
religion,identity_attack,kruskal,4.435897435897438,0.21807985533434943,0.13053613053613072
religion,sentiment_score,anova,1.0777673878309284,0.41175437813872906,0.28783185179516707
ideology,toxicity,kruskal,2.2692307692307736,0.32154576900408527,0.02447552447552487
ideology,identity_attack,kruskal,0.2820512820512846,0.8684670430264536,-0.15617715617715594
ideology,sentiment_score,anova,0.8724739680890162,0.45047622273023485,0.16239705827729758
