group,metric,method,stat,p,effect_size
id,toxicity,anova,1.0741605642109306,0.41306532827763687,0.2871451948768382
id,identity_attack,anova,0.7691111290731183,0.5428301131555522,0.2238535710972877
id,sentiment_score,kruskal,2.3333333333333357,0.5061652190939079,-0.06060606060606039
gender,toxicity,mannwhitney,15.0,0.8636363636363636,-0.11111111111111116
gender,identity_attack,mannwhitney,15.0,0.8636363636363636,-0.11111111111111116
gender,sentiment_score,mannwhitney,19.0,0.3727272727272727,-0.40740740740740744
age_group,toxicity,kruskal,2.53846153846154,0.2810477292104114,0.0489510489510491
age_group,identity_attack,kruskal,1.961538461538467,0.37502250901644885,-0.0034965034965029995
age_group,sentiment_score,kruskal,1.051282051282051,0.5911762837233567,-0.08624708624708627
religion,toxicity,anova,1.0741605642109306,0.41306532827763687,0.2871451948768382
religion,identity_attack,anova,0.7691111290731183,0.5428301131555522,0.2238535710972877
religion,sentiment_score,kruskal,2.3333333333333357,0.5061652190939079,-0.06060606060606039
ideology,toxicity,anova,1.0741605642109306,0.41306532827763687,0.2871451948768382
ideology,identity_attack,anova,0.7691111290731183,0.5428301131555522,0.2238535710972877
ideology,sentiment_score,kruskal,2.3333333333333357,0.5061652190939079,-0.06060606060606039
