group,metric,F,p
id,toxicity,0.9186132602448714,0.6414399353282498
id,identity_attack,0.9343978244266852,0.6121567727699109
id,sentiment_score,1.042725060450988,0.41415339263499396
gender,toxicity,1.480991766240907,0.22512886787775188
gender,identity_attack,0.01758480824972078,0.8946439559959373
gender,sentiment_score,1.1227257993037194,0.2906774158651384
age_group,toxicity,0.7936619574925783,0.5306403616983496
age_group,identity_attack,2.0378795937751355,0.09080271449476686
age_group,sentiment_score,2.0033424783491185,0.09576323469037078
religion,toxicity,0.17637704234631169,0.9503467654754836
religion,identity_attack,1.4036054595730711,0.23440044426415235
religion,sentiment_score,0.7209340640402107,0.5786206889153607
ideology,toxicity,0.3694193984054091,0.9951280249206643
ideology,identity_attack,0.708285998553193,0.8208547649553799
ideology,sentiment_score,1.1335451082262964,0.3180728923010253
