id,gender,age,age_group,religion,location,ideology,comp_grouping,comp_metric,group1,group2
persona_5,Male,31.0,30_49,Catholic,Missouri/MO,Conservative,age_group,toxicity,30_49,under_18
persona_84,Female,37.0,30_49,Protestant,Alabama/AL,Conservative,age_group,toxicity,30_49,under_18
persona_83,Male,43.0,30_49,Religiously Unaffiliated,New York/NY,"Believes in the importance of community, education, and preserving history.",age_group,toxicity,30_49,under_18
persona_82,Male,45.0,30_49,Religiously Unaffiliated,New York/NY,Moderate,age_group,toxicity,30_49,under_18
persona_81,Female,37.0,30_49,Catholic,Georgia/GA,Progressive,age_group,toxicity,30_49,under_18
persona_79,Male,39.0,30_49,Catholic,Kentucky/KY,Believes in the importance of education and community service,age_group,toxicity,30_49,under_18
persona_76,Male,40.0,30_49,Catholic,Massachusetts/MA,Conservative,age_group,toxicity,30_49,under_18
persona_67,Female,42.0,30_49,Other Christian,Mexico,Social equality and justice,age_group,toxicity,30_49,under_18
persona_60,Female,37.0,30_49,Religiously Unaffiliated,Mexico,Believes in hard work and providing for her family,age_group,toxicity,30_49,under_18
persona_56,Male,33.0,30_49,Protestant,California/CA,Conservative,age_group,toxicity,30_49,under_18
persona_53,Female,36.0,30_49,Protestant,Texas/TX,"Helping others, Promoting health and wellness",age_group,toxicity,30_49,under_18
persona_50,Female,40.0,30_49,Other Christian,Maine/ME,Progressive,age_group,toxicity,30_49,under_18
persona_93,Female,47.0,30_49,Catholic,Missouri/MO,Liberal,age_group,toxicity,30_49,under_18
persona_47,Female,44.0,30_49,Jewish,Vietnam,Liberal,age_group,toxicity,30_49,under_18
persona_45,Female,44.0,30_49,Protestant,Washington/WA,"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",age_group,toxicity,30_49,under_18
persona_49,Female,40.0,30_49,Other Christian,Iran,Feminist,age_group,toxicity,30_49,under_18
persona_94,Female,32.0,30_49,Other Christian,Arkansas/AR,Conservative,age_group,toxicity,30_49,under_18
persona_30,Female,31.0,30_49,Protestant,India,Believes in social justice and equality,age_group,toxicity,30_49,under_18
persona_27,Male,48.0,30_49,Protestant,North Carolina/NC,Believes in the importance of individual freedom and creativity,age_group,toxicity,30_49,under_18
persona_10,Male,33.0,30_49,Protestant,Mexico,Conservative,age_group,toxicity,30_49,under_18
persona_11,Male,49.0,30_49,Other Christian,Tennessee/TN,Liberal,age_group,toxicity,30_49,under_18
persona_23,Female,44.0,30_49,Protestant,Haiti,Egalitarian,age_group,toxicity,30_49,under_18
persona_13,Male,48.0,30_49,Catholic,Bulgaria,Liberal,age_group,toxicity,30_49,under_18
persona_22,Female,30.0,30_49,Other Non-Christian Religion,Washington/WA,"Believes in the interconnectedness of physical, mental, and community health",age_group,toxicity,30_49,under_18
persona_36,Male,36.0,30_49,Protestant,Georgia/GA,Conservative,age_group,toxicity,30_49,under_18
persona_17,Male,44.0,30_49,Catholic,California/CA,Liberal,age_group,toxicity,30_49,under_18
persona_7,Female,15.0,under_18,Catholic,Wisconsin/WI,Liberal,age_group,toxicity,30_49,under_18
persona_12,Female,13.0,under_18,Jewish,Missouri/MO,Too young to define,age_group,toxicity,30_49,under_18
persona_15,Male,16.0,under_18,Other Non-Christian Religion,Florida/FL,Progressive,age_group,toxicity,30_49,under_18
persona_41,Male,6.0,under_18,Religiously Unaffiliated,Alaska/AK,Not Applicable,age_group,toxicity,30_49,under_18
persona_65,Male,15.0,under_18,Religiously Unaffiliated,Alabama/AL,Liberal,age_group,toxicity,30_49,under_18
persona_62,Male,3.0,under_18,Other Christian,Missouri/MO,Not applicable,age_group,toxicity,30_49,under_18
persona_57,Male,13.0,under_18,Catholic,Wisconsin/WI,Too young to define,age_group,toxicity,30_49,under_18
persona_55,Female,4.0,under_18,Religiously Unaffiliated,Maine/ME,Not applicable,age_group,toxicity,30_49,under_18
persona_24,Female,13.0,under_18,Other Christian,Indiana,Too young to define,age_group,toxicity,30_49,under_18
persona_26,Female,4.0,under_18,Other Non-Christian Religion,Tennessee/TN,Not applicable,age_group,toxicity,30_49,under_18
persona_32,Male,2.0,under_18,Catholic,Texas/TX,Not applicable,age_group,toxicity,30_49,under_18
persona_66,Female,9.0,under_18,Protestant,Missouri/MO,Not applicable,age_group,toxicity,30_49,under_18
persona_63,Female,14.0,under_18,Catholic,Georgia/GA,Progressive,age_group,toxicity,30_49,under_18
,,,,,,,,,,
persona_1,Male,56.0,50_64,Other Christian,Texas/TX,Progressive,age_group,toxicity,50_64,under_18
persona_90,Female,59.0,50_64,Protestant,Massachusetts/MA,Moderate,age_group,toxicity,50_64,under_18
persona_86,Male,61.0,50_64,Jewish,Illinois/IL,Liberal,age_group,toxicity,50_64,under_18
persona_85,Female,50.0,50_64,Protestant,Arkansas/AR,Liberal,age_group,toxicity,50_64,under_18
persona_78,Male,53.0,50_64,Protestant,Ohio/OH,Liberal,age_group,toxicity,50_64,under_18
persona_77,Female,55.0,50_64,Catholic,Australia,Liberal,age_group,toxicity,50_64,under_18
persona_75,Female,62.0,50_64,Catholic,Florida/FL,Believes in the importance of community and helping others,age_group,toxicity,50_64,under_18
persona_74,Male,57.0,50_64,Protestant,Florida/FL,Individualism,age_group,toxicity,50_64,under_18
persona_68,Female,54.0,50_64,Catholic,Colorado/CO,Moderate,age_group,toxicity,50_64,under_18
persona_64,Male,58.0,50_64,Religiously Unaffiliated,Indiana/IN,Conservative,age_group,toxicity,50_64,under_18
persona_58,Male,53.0,50_64,Protestant,Connecticut/CT,Moderate,age_group,toxicity,50_64,under_18
