group1,group2,meandiff,p-adj,lower,upper,reject,metric,grouping
Believes in individual freedom and community support,Believes in the importance of individual freedom and creativity,0.0015,0.0,0.0005,0.0024,True,identity_attack,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Believes in the importance of individual freedom and creativity,0.0014,0.0,0.0005,0.0024,True,identity_attack,ideology
Believes in personal freedom and small government,Believes in the importance of individual freedom and creativity,0.0014,0.0,0.0005,0.0024,True,identity_attack,ideology
Believes in social justice and equality,Believes in the importance of individual freedom and creativity,0.0014,0.0,0.0005,0.0024,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,Feminist,-0.0013,0.0003,-0.0022,-0.0004,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,Social Justice,-0.0013,0.0004,-0.0022,-0.0003,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,Believes in the importance of understanding and appreciating different cultures,-0.0014,0.0,-0.0024,-0.0005,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,"Believes in the interconnectedness of physical, mental, and community health",-0.0014,0.0,-0.0023,-0.0005,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,Conservative,-0.0014,0.0,-0.0021,-0.0007,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,Egalitarian,-0.0014,0.0,-0.0024,-0.0005,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,Environmentalism,-0.0014,0.0,-0.0024,-0.0005,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,"Helping others, Promoting health and wellness",-0.0014,0.0001,-0.0023,-0.0004,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,Liberal,-0.0014,0.0,-0.0021,-0.0008,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,Libertarian,-0.0014,0.0,-0.0024,-0.0005,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,Not applicable,-0.0014,0.0,-0.0022,-0.0007,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,Progressive,-0.0014,0.0,-0.0021,-0.0007,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,Social responsibility and equality,-0.0014,0.0,-0.0024,-0.0005,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,Moderate,-0.0015,0.0,-0.0024,-0.0005,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,Not Applicable,-0.0015,0.0,-0.0024,-0.0005,True,identity_attack,ideology
Believes in the importance of individual freedom and creativity,Too young to define,-0.0015,0.0,-0.0023,-0.0006,True,identity_attack,ideology
Believes in individual freedom and community support,Believes in the importance of individual freedom and creativity,0.0064,0.0016,0.0013,0.0114,True,toxicity,ideology
Believes in social justice and equality,Believes in the importance of individual freedom and creativity,0.0063,0.0019,0.0013,0.0113,True,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Believes in the importance of individual freedom and creativity,0.0062,0.0026,0.0011,0.0112,True,toxicity,ideology
Believes in personal freedom and small government,Believes in the importance of individual freedom and creativity,0.0062,0.0026,0.0011,0.0112,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,Feminist,-0.0052,0.0349,-0.0102,-0.0002,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,Progressive,-0.0057,0.0,-0.0095,-0.0018,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,"Believes in the interconnectedness of physical, mental, and community health",-0.0058,0.0067,-0.0109,-0.0008,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,Egalitarian,-0.006,0.0042,-0.011,-0.001,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,"Helping others, Promoting health and wellness",-0.006,0.0048,-0.011,-0.0009,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,Not applicable,-0.0061,0.0,-0.0101,-0.0021,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,Believes in the importance of understanding and appreciating different cultures,-0.0062,0.0028,-0.0112,-0.0011,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,Conservative,-0.0062,0.0,-0.0098,-0.0025,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,Liberal,-0.0062,0.0,-0.0099,-0.0025,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,Not Applicable,-0.0062,0.0023,-0.0113,-0.0012,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,Environmentalism,-0.0063,0.002,-0.0113,-0.0012,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,Libertarian,-0.0063,0.0021,-0.0113,-0.0012,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,Moderate,-0.0063,0.0019,-0.0113,-0.0012,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,Social responsibility and equality,-0.0063,0.0017,-0.0114,-0.0013,True,toxicity,ideology
Believes in the importance of individual freedom and creativity,Too young to define,-0.0063,0.0001,-0.0107,-0.002,True,toxicity,ideology
