group1,group2,meandiff,p-adj,lower,upper,reject,metric,grouping
Believes in hard work and providing for her family,Believes in individual freedom and community support,-0.0171,0.9997,-0.0664,0.0322,False,toxicity,ideology
Believes in hard work and providing for her family,"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",-0.0171,0.9997,-0.0664,0.0322,False,toxicity,ideology
Believes in hard work and providing for her family,Believes in personal freedom and small government,-0.0171,0.9997,-0.0664,0.0323,False,toxicity,ideology
Believes in hard work and providing for her family,Believes in social justice and equality,-0.0168,0.9998,-0.0661,0.0325,False,toxicity,ideology
Believes in hard work and providing for her family,Believes in the importance of individual freedom and creativity,0.008,1.0,-0.0413,0.0573,False,toxicity,ideology
Believes in hard work and providing for her family,Believes in the importance of understanding and appreciating different cultures,-0.0133,1.0,-0.0627,0.036,False,toxicity,ideology
Believes in hard work and providing for her family,"Believes in the interconnectedness of physical, mental, and community health",-0.0171,0.9997,-0.0664,0.0322,False,toxicity,ideology
Believes in hard work and providing for her family,Conservative,-0.0166,0.9861,-0.0523,0.0192,False,toxicity,ideology
Believes in hard work and providing for her family,Egalitarian,-0.017,0.9997,-0.0663,0.0323,False,toxicity,ideology
Believes in hard work and providing for her family,Environmentalism,-0.0171,0.9997,-0.0664,0.0322,False,toxicity,ideology
Believes in hard work and providing for her family,Feminist,-0.0169,0.9997,-0.0663,0.0324,False,toxicity,ideology
Believes in hard work and providing for her family,"Helping others, Promoting health and wellness",-0.0156,0.9999,-0.0649,0.0337,False,toxicity,ideology
Believes in hard work and providing for her family,Liberal,-0.0138,0.9988,-0.0497,0.0222,False,toxicity,ideology
Believes in hard work and providing for her family,Libertarian,-0.0167,0.9998,-0.0661,0.0326,False,toxicity,ideology
Believes in hard work and providing for her family,Moderate,0.0279,0.8991,-0.0214,0.0772,False,toxicity,ideology
Believes in hard work and providing for her family,Not Applicable,-0.0141,1.0,-0.0634,0.0352,False,toxicity,ideology
Believes in hard work and providing for her family,Not applicable,-0.0096,1.0,-0.0486,0.0294,False,toxicity,ideology
Believes in hard work and providing for her family,Progressive,-0.0138,0.9993,-0.0515,0.0238,False,toxicity,ideology
